is_bungalow,is_villa,is_apartment,is_duplex,is_house,is_land,has_parking,has_garden,has_bhk,is_furnished,is_modern,is_luxury,is_commercial,is_urgent
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1
