title,category,location,price_numeric,is_bungalow,is_villa,is_apartment,is_duplex,is_house,is_land,has_parking,has_garden,has_bhk,is_furnished,is_modern,is_luxury,is_commercial,is_urgent
 House for Sale,House,"Budhanilkantha, Kathmandu",110000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Hattiban, Lalitpur",32500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Hattiban, Lalitpur",28000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",31000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Baneshwor, Kathmandu",40000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
House for Sale,House,"Tokha, Kathmandu",35000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",31500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Ochu Height, Lalitpur",29000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",42500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Bhaisepati, Lalitpur",46500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Luxurious Villa  for Sale,House,"Bhaisepati, Lalitpur",40000000.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Bungalow House for Sale,House,"Sanepa, Lalitpur",59500000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Nakkhu, Lalitpur",39000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Setipakha, Lalitpur",32000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Setipakha, Lalitpur",32500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Sunakothi, Lalitpur",51500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Kalanki, Kathmandu",35000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bungalow House for Sale,House,"Imadol, Lalitpur",32500000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Bhangal , Kathmandu",32000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Sukedhara, Kathmandu",55000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
House for Sale,House,"Setipakha, Lalitpur",23000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Chandragiri, Kathmandu",17000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",24000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Tikathali, Lalitpur",27500000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Tikathali, Lalitpur",22500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4 BHK House for Sale,House,"Lubhu, Lalitpur",18000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3 BHK House for Sale,House,"Imadol, Lalitpur",25000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
 House for Sale,House,"Setipakha, Lalitpur",16500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Bhaisepati, Lalitpur",51000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",59900000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Imadol, Lalitpur",32500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Bhaisepati, Lalitpur",27500000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 House for Sale,House,"Sudal, Bhaktapur",12700000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
