title,location,district_clean,category,price_numeric,land_area_sqft,bedrooms,bathrooms,price_per_sqft,bed_bath_ratio,is_bungalow,is_villa,mentions_bhk,source,tokens,tokens_text,num_tokens
Bungalow House for Sale,"Dhapasi, Kathmandu",Kathmandu,House,133000000.0,3285.6,5.0,5.0,40479.66885804724,0.9803921568627452,1,0,0,Kaggle (Valley),"['bungalow', 'house', 'sale']",bungalow house sale,3
Villa House for Sale,"Thecho, Lalitpur",Lalitpur,House,85000000.0,2395.75,5.0,7.0,35479.4949389544,0.7042253521126761,0,1,0,Kaggle (Valley),"['villa', 'house', 'sale']",villa house sale,3
Bungalow House for Sale,"Bhaisepati, Lalitpur",Lalitpur,House,55000000.0,1711.25,4.0,5.0,32140.248356464577,0.7843137254901962,1,0,0,Kaggle (Valley),"['bungalow', 'house', 'sale']",bungalow house sale,3
 House for Sale,"Bhaisepati, Lalitpur",Lalitpur,House,47500000.0,1060.975,4.0,4.0,44770.14067249464,0.9756097560975612,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
 House for Sale,"Imadol, Lalitpur",Lalitpur,House,29500000.0,1095.2,5.0,4.0,26935.71950328707,1.2195121951219514,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
 House for Sale,"Sanepa, Lalitpur",Lalitpur,House,63500000.0,1711.25,5.0,3.0,37107.37764791819,1.6129032258064515,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
Bungalow House for Sale,"Bhaisepati, Lalitpur",Lalitpur,House,85000000.0,2395.75,5.0,6.0,35479.4949389544,0.819672131147541,1,0,0,Kaggle (Valley),"['bungalow', 'house', 'sale']",bungalow house sale,3
Bungalow House for Sale,"Maharajgunj, Kathmandu",Kathmandu,House,105000000.0,3764.75,4.0,4.0,27890.298160568433,0.9756097560975612,1,0,0,Kaggle (Valley),"['bungalow', 'house', 'sale']",bungalow house sale,3
4 BHK House for Sale,"Bhaisepati, Lalitpur",Lalitpur,House,64000000.0,2395.75,4.0,4.0,26713.972659918607,0.9756097560975612,0,0,1,Kaggle (Valley),"['bhk', 'house', 'sale']",bhk house sale,3
3 BHK House for Sale,"Sunakothi, Lalitpur",Lalitpur,House,35000000.0,1369.0,3.0,4.0,25566.106647187728,0.7317073170731708,0,0,1,Kaggle (Valley),"['bhk', 'house', 'sale']",bhk house sale,3
 House for Sale,"Kapan, Kathmandu",Kathmandu,House,22000000.0,1026.75,6.0,5.0,21426.832237643048,1.1764705882352942,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
4 BHK House for Sale,"Dhobighat, Lalitpur",Lalitpur,House,37500000.0,1026.75,4.0,4.0,36523.00949598247,0.9756097560975612,0,0,1,Kaggle (Valley),"['bhk', 'house', 'sale']",bhk house sale,3
 House for Sale,"Hattiban, Lalitpur",Lalitpur,House,80000000.0,2053.5,5.0,4.0,38957.876795714634,1.2195121951219514,0,0,0,Kaggle (Valley),"['house', 'sale']",house sale,2
